dates,vol
2021-08-12 21:59:44,0
2021-08-12 22:09:45,0
2021-08-12 22:19:47,0
2021-08-12 22:29:48,0
2021-08-12 22:39:49,0
2021-08-12 22:49:49,0
2021-08-12 22:59:50,0
2021-08-12 23:09:51,0
2021-08-12 23:19:53,0
2021-08-12 23:29:54,0
2021-08-12 23:39:55,0
2021-08-12 23:49:56,0
2021-08-12 23:59:57,0
2021-08-13 00:09:58,0
2021-08-13 00:19:58,0
2021-08-13 00:30:00,0
2021-08-13 00:40:01,0
2021-08-13 00:50:02,0
2021-08-13 01:00:03,0
2021-08-13 01:10:04,0
2021-08-13 01:20:05,0
2021-08-13 01:30:07,0
2021-08-13 01:40:08,0
2021-08-13 01:50:09,0
2021-08-13 02:00:10,0
2021-08-13 02:10:10,0
2021-08-13 02:20:11,0
2021-08-13 02:30:13,0
2021-08-13 02:40:14,0
2021-08-13 02:50:15,0
2021-08-13 03:00:16,0
2021-08-13 03:10:17,0
2021-08-13 03:20:18,0
2021-08-13 03:30:19,0
2021-08-13 03:40:21,0
2021-08-13 03:50:21,0
2021-08-13 04:00:22,0
2021-08-13 04:10:23,0
2021-08-13 04:20:24,0
2021-08-13 04:30:25,0
2021-08-13 04:40:26,0
2021-08-13 04:50:28,0
2021-08-13 05:00:29,0
2021-08-13 05:10:30,0
2021-08-13 05:20:31,0
2021-08-13 05:30:31,0
2021-08-13 05:40:32,0
2021-08-13 05:50:34,0
2021-08-13 06:00:35,0
2021-08-13 06:10:36,0
2021-08-13 06:20:37,0
2021-08-13 06:30:38,0
2021-08-13 06:40:39,0
2021-08-13 06:50:41,0
2021-08-13 07:00:42,0
2021-08-13 07:07:03,0
2021-08-13 07:07:05,0
2021-08-13 07:08:05,19
2021-08-13 07:09:05,20
2021-08-13 07:10:05,20
2021-08-13 07:11:06,20
2021-08-13 07:12:06,20
2021-08-13 07:13:05,20
2021-08-13 07:14:05,20
2021-08-13 07:15:06,20
2021-08-13 07:16:06,20
2021-08-13 07:17:06,20
2021-08-13 07:18:07,20
2021-08-13 07:19:06,20
